,0,1
0,1981,1.6
1,1982,1.6
2,1983,2.29999999999999
3,1984,2.2
4,1985,2.7
5,1986,3.39999999999999
6,1987,4.0
7,1988,4.2
8,1989,4.5
9,1990,4.79999999999999
10,1991,4.7
11,1992,5.09999999999999
12,1993,5.79999999999999
13,1994,6.2
14,1995,7.0
15,1996,9.09999999999999
16,1997,11.1999999999999
17,1998,13.3
18,1999,14.5
19,2000,19.1
20,2001,18.3
21,2002,17.5
22,2003,19.3
23,2004,22.6
24,2005,25.8999999999999
25,2006,29.1999999999999
26,2007,34.8999999999999
27,2008,36.8999999999999
28,2009,26.1
29,2010,27.6
30,2011,32.0
31,2012,30.6999999999999
32,2013,32.7
33,2014,36.3999999999999
34,2015,37.6
35,2016,35.7
