,0,1
0,2000,111279.04122621566
1,2001,127636.98890063167
2,2002,143994.9365750514
3,2003,160352.88424947113
4,2004,176710.83192388713
5,2005,193068.77959830686
6,2006,209426.7272727266
7,2007,225784.6749471426
8,2008,242142.62262156233
9,2009,258500.57029598206
10,2010,274858.5179704018
11,2011,291216.4656448178
