Location,Map-Lot,Map,Lot,Land Area,Land Use Code,Land Use Category,Land Use Description,Existing Units,Mixed Use,Group Quarters,Grad Student Housing,Condo,Tax Status,Location 1
18 RESERVOIR ST,238-73,238,73,14532,130,Vacant Residential,RES-DEV-LAND,0, , , , , ,"(42.3783770464999, -71.1364537995)"
43 APPLETON ST,238-75,238,75,16158,1014,Residential,SINGLE FAM W/AU,2, , , , , ,"(42.3785359689999, -71.1339961017999)"
29 APPLETON ST,238-76,238,76,1920,132,Vacant Residential,RES-UDV-LAND,0, , , , , ,"(42.3783343436, -71.1338914156)"
12 RESERVOIR ST,238-77,238,77,21155,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3783826236999, -71.1371115557)"
14 RESERVOIR ST,238-78,238,78,18095,130,Vacant Residential,RES-DEV-LAND,0, , , , , ,"(42.3783901474999, -71.1367729071999)"
4 KENNEDY RD,238-79,238,79,23038,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3784429513, -71.1346015718)"
19 APPLETON ST,238-8,238,8,11520,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3780141912, -71.1338588185)"
358R CAMBRIDGE ST,23-88,23,88,3000,130,Vacant Residential,RES-DEV-LAND,0, , , , , ,"(42.3710835449, -71.0820571521999)"
16 KENNEDY RD,238-80,238,80,10386,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3782575193, -71.1343375937999)"
157 BRATTLE ST,238-9,238,9,17902,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.377681058, -71.1337686394)"
114 GORE ST,23-9,23,9,2400,111,Residential,4-8-UNIT-APT,6, , , , , ,"(42.3720550287999, -71.0831945512999)"
344 CAMBRIDGE ST,23-90,23,90,14999,340,Office,GEN-OFFICE,0, , , , , ,"(42.370776601, -71.0818535105999)"
18 CHANNING ST,239-19,239,19,5197,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.37517238, -71.1350768833)"
10 CHANNING ST,239-2,239,2,12600,1014,Residential,SINGLE FAM W/AU,2, , , , , ,"(42.3761060129999, -71.1352634960999)"
283 MT AUBURN ST,239-21,239,21,20866,920,Public Open Space,Parklands,0, , , , ,City NonTax,"(42.3751201486999, -71.1336474003999)"
164 BRATTLE ST,239-26,239,26,18446,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3769577138999, -71.1346691969)"
9 LOWELL ST,239-27,239,27,14260,1014,Residential,SINGLE FAM W/AU,2, , , , , ,"(42.3763604430999, -71.1338930420999)"
11 LOWELL ST,239-28,239,28,13900,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3761665409, -71.1338343679999)"
1 LONGFELLOW RD,239-29,239,29,4608,104,Residential,TWO-FAM-RES,2, , , ,YES, ,"(42.3751081329, -71.1344689601999)"
6 CHANNING ST,239-3,239,3,14000,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3763610286, -71.1353486122)"
7 LONGFELLOW RD,239-30,239,30,4725,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3752473019, -71.1345323361999)"
11 LONGFELLOW RD,239-31,239,31,4725,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3753880013, -71.1345811863999)"
17 LONGFELLOW RD,239-32,239,32,4725,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3755306643, -71.1346283171999)"
19 LONGFELLOW RD,239-33,239,33,4725,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3756723362999, -71.1346767418)"
25 LONGFELLOW RD,239-34,239,34,4567,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3758096546999, -71.1347218981999)"
22 LONGFELLOW RD,239-35,239,35,4834,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3758793041999, -71.1342789735)"
18 LONGFELLOW RD,239-36,239,36,5078,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3757284531, -71.1342281288)"
14 LONGFELLOW RD,239-37,239,37,5019,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3755714544, -71.1341757465999)"
10 LONGFELLOW RD,239-38,239,38,4961,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3754126414999, -71.1341235260999)"
6 LONGFELLOW RD,239-39,239,39,4902,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3752527764, -71.1340700310999)"
93 OTIS ST,23-94,23,94,4040,031,Mixed Use Commercial,MULTIUSE-COM,1,mixed, , , , ,"(42.3708148468999, -71.0821424213)"
2 LONGFELLOW RD,239-40,239,40,5166,104,Residential,TWO-FAM-RES,2, , , ,YES, ,"(42.3750897864999, -71.134002811)"
5 CHANNING CIR,239-44,239,44,5140,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3755761512, -71.1349246367999)"
3 CHANNING CIR,239-45,239,45,4481,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3757413300999, -71.1350359365)"
14 CHANNING ST,239-46,239,46,4529,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3756694849, -71.1352743390999)"
321-323 MT AUBURN ST,239-48,239,48,6172,104,Residential,TWO-FAM-RES,2, , , ,YES, ,"(42.3751719664999, -71.1348102728999)"
16 CHANNING ST,239-49,239,49,4654,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3753675655, -71.1351684751)"
95 OTIS ST,23-95,23,95,5055,111,Residential,4-8-UNIT-APT,5, , , , , ,"(42.3708354923, -71.0823085324)"
6 CHANNING CIR,239-50,239,50,5482,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3753779911999, -71.1349056332)"
21 LOWELL ST,239-51,239,51,5225,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3756024365999, -71.1338107036)"
19 LOWELL ST,239-52,239,52,7746,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3756314614999, -71.133483095)"
17 LOWELL ST,239-53,239,53,8600,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3757323561, -71.1339013167)"
277 MT AUBURN ST,239-54,239,54,3993,105,Residential,THREE-FM-RES,3, , , , , ,"(42.3750953102999, -71.1332509471999)"
LOWELL ST,239-55,239,55,11990,930,Government Operations,Government Operations,0, , , , ,City NonTax,"(42.3753793114999, -71.1334805635)"
15A LOWELL ST,239-58,239,58,8947,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3759229054999, -71.1339654331)"
