Location,Map-Lot,Map,Lot,Land Area,Land Use Code,Land Use Category,Land Use Description,Existing Units,Mixed Use,Group Quarters,Grad Student Housing,Condo,Tax Status,Location 1
6 GORDON PL,100-10,100,10,1859,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3578302905999, -71.1135982426999)"
7 GORDON PL,100-11,100,11,2783,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3575909779999, -71.1134519871)"
5 GORDON PL,100-12,100,12,2398,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3576885275999, -71.1133606047)"
3 GORDON PL,100-13,100,13,2398,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3577729475, -71.1132679127999)"
1 GORDON PL,100-14,100,14,2398,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3578567859999, -71.1131757162)"
6 FLORENCE ST,100-15,100,15,2367,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3580084903, -71.1131107820999)"
4 FLORENCE ST,100-16,100,16,2450,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3579476020999, -71.1130124594999)"
155 MAGAZINE ST,100-17,100,17,4500,101,Residential,SNGL-FAM-RES,1, , , , ,Religious NonTax,"(42.3578606283, -71.1128073884)"
159 MAGAZINE ST,100-18,100,18,3600,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3577656173999, -71.1129098109)"
163 MAGAZINE ST,100-19,100,19,4500,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3576681795, -71.1130182694)"
167 MAGAZINE ST,100-20,100,20,3600,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3575716116, -71.1131250008999)"
171 MAGAZINE ST,100-21,100,21,4230,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3574775320999, -71.1132274203999)"
177 MAGAZINE ST,100-22,100,22,3129,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3573710052, -71.1133074322)"
23 FLORENCE ST,100-23,100,23,2102,101,Residential,SNGL-FAM-RES,2, , , , , ,"(42.3588136694, -71.1138332748)"
176 PLEASANT ST,100-24,100,24,1940,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3589172184999, -71.1137747834)"
174 PLEASANT ST,100-25,100,25,2457,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3589946991999, -71.1137272594999)"
170 PLEASANT ST,100-26,100,26,3434,105,Residential,THREE-FM-RES,3, , , , , ,"(42.3590629634, -71.1136444676999)"
226-228 CHESTNUT ST,100-29,100,29,5373,111,Residential,4-8-UNIT-APT,5, , , , , ,"(42.3587760392, -71.1129569212999)"
222-224 CHESTNUT ST,100-30,100,30,5413,111,Residential,4-8-UNIT-APT,5, , , ,YES, ,"(42.3586935339999, -71.1128199648999)"
218-220 CHESTNUT ST,100-31,100,31,5349,111,Residential,4-8-UNIT-APT,5, , , , , ,"(42.3586108371999, -71.1126827768)"
13-17 FLORENCE ST,100-35,100,35,7141,105,Residential,THREE-FM-RES,3, , , ,YES, ,"(42.3586351037999, -71.1133813201)"
19 FLORENCE ST,100-36,100,36,5625,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3587349713999, -71.1135482648)"
21 FLORENCE ST,100-37,100,37,3488,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3588059583999, -71.1136626267999)"
11 FLORENCE ST,100-38,100,38,3938,105,Residential,THREE-FM-RES,3, , , , , ,"(42.3585478099, -71.1132372135)"
9 FLORENCE ST,100-39,100,39,3937,105,Residential,THREE-FM-RES,3, , , ,YES, ,"(42.3584858303999, -71.1131371481999)"
16 FLORENCE ST,100-4,100,4,6456,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3584787283, -71.1138747274)"
7 FLORENCE ST,100-40,100,40,5513,111,Residential,4-8-UNIT-APT,6, , , ,YES, ,"(42.3584126449, -71.1130143560999)"
3 FLORENCE ST,100-42,100,42,4275,105,Residential,THREE-FM-RES,3, , , ,YES, ,"(42.3582755535, -71.1127897153999)"
151 MAGAZINE ST,100-45,100,45,2920,105,Residential,THREE-FM-RES,3, , , ,YES, ,"(42.3581099381, -71.1125149453)"
153 MAGAZINE ST,100-46,100,46,3200,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3580306794999, -71.1126013707999)"
214 CHESTNUT ST,100-49,100,49,6767,111,Residential,4-8-UNIT-APT,6, , , , , ,"(42.3585194102, -71.1125342354999)"
238 CHESTNUT ST,100-51,100,51,6412,105,Residential,THREE-FM-RES,3, , , ,YES, ,"(42.3589685470999, -71.1132719640999)"
232 CHESTNUT ST,100-52,100,52,6734,105,Residential,THREE-FM-RES,3, , , , , ,"(42.3588683225, -71.113107084)"
10 FLORENCE ST,100-6,100,6,2380,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3581429644999, -71.1133349602)"
727 MEMORIAL DR,100-62,100,62,191663,323,Commercial,SH-CNTR/MALL,0, , , , , ,"(42.3572542882999, -71.1143407503)"
767 MEMORIAL DR,100-68,100,68,66427,300,Commercial,HOTEL,0, , , , , ,"(42.3586803852, -71.1147110293999)"
8 FLORENCE ST,100-7,100,7,2227,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3580871699, -71.113239847)"
242 CHESTNUT ST,100-74,100,74,4090,105,Residential,THREE-FM-RES,3, , , , , ,"(42.3590657234, -71.1133936947999)"
248-250 CHESTNUT ST,100-75,100,75,5650,104,Residential,TWO-FAM-RES,2, , , ,YES, ,"(42.3591989749, -71.1135394854999)"
141 MAGAZINE ST,100-76,100,76,6110,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3584333634999, -71.1122311887999)"
2 GORDON PL,100-8,100,8,2925,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.357994562, -71.1134406129999)"
14 FLORENCE ST,100-85,100,85,5663,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3583100014, -71.1137134731)"
187 MAGAZINE ST,100-86,100,86,22024,334,Commercial,GAS-STATION,0, , , , , ,"(42.3567494891999, -71.1141853152)"
5 FLORENCE ST,100-87,100,87,3819,105,Residential,THREE-FM-RES,3, , , , , ,"(42.3583324339, -71.1128947465)"
12 FLORENCE ST,100-88,100,88,11048,105,Residential,THREE-FM-RES,3, , , , , ,"(42.3581514299999, -71.1135746426)"
4 GORDON PL,100-9,100,9,1755,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3579082047999, -71.1135359180999)"
149 MAGAZINE ST,100-90,100,90,2880,105,Residential,THREE-FM-RES,3, , , ,YES, ,"(42.3581887909, -71.1124278452)"
1 FLORENCE ST,100-91,100,91,4275,105,Residential,THREE-FM-RES,3, , , , , ,"(42.3582120857999, -71.1126857233)"
5R FLORENCE ST,100-93,100,93,191,132,Vacant Residential,RES-UDV-LAND,0, , , , , ,"(42.3584516071, -71.1128358426999)"
145 MAGAZINE ST,100-94,100,94,3046,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3583421469, -71.1123242374)"
147 MAGAZINE ST,100-95,100,95,2934,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3582866304, -71.1123936683)"
27 PRINCE ST,101-103,101,103,5295,111,Residential,4-8-UNIT-APT,6, , , ,YES, ,"(42.3608094128999, -71.1103164010999)"
41 PRINCE ST,101-104,101,104,5500,111,Residential,4-8-UNIT-APT,6, , , ,YES, ,"(42.3609046047999, -71.1104763074999)"
45-47 PRINCE ST,101-105,101,105,4500,105,Residential,THREE-FM-RES,3, , , ,YES, ,"(42.3609893447, -71.1106185584)"
55 PRINCE ST,101-106,101,106,5085,111,Residential,4-8-UNIT-APT,6, , , ,YES, ,"(42.3610704239999, -71.1107549073)"
61 PRINCE ST,101-108,101,108,5180,105,Residential,THREE-FM-RES,3, , , ,YES, ,"(42.3611601007999, -71.1109060114)"
20-22 KENWOOD ST,101-114,101,114,2577,104,Residential,TWO-FAM-RES,2, , , ,YES, ,"(42.3603307228, -71.1109700155)"
24 KENWOOD ST,101-115,101,115,2870,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3604223171, -71.1108656491)"
277 ALLSTON ST,101-116,101,116,3357,104,Residential,TWO-FAM-RES,2, , , ,YES, ,"(42.3602938253999, -71.1107631695)"
14 KENWOOD ST,101-117,101,117,3344,105,Residential,THREE-FM-RES,3, , , ,YES, ,"(42.3601258467, -71.1111466549999)"
12 PRINCE ST,101-119,101,119,6000,112,Residential,>8-UNIT-APT,12, , , ,YES, ,"(42.3603220741999, -71.1102713574999)"
105 MAGAZINE ST,101-120,101,120,5500,0112,Mixed Use Residential,MXD >8-UNIT-APT,12,groundfloor, , , , ,"(42.3602252732, -71.1101065260999)"
265 ALLSTON ST,101-121,101,121,2893,105,Residential,THREE-FM-RES,3, , , , , ,"(42.3601670926, -71.1105334339)"
269 ALLSTON ST,101-122,101,122,2997,105,Residential,THREE-FM-RES,3, , , ,YES, ,"(42.3602289183, -71.1106451186)"
107 MAGAZINE ST,101-123,101,123,3010,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3601074553999, -71.1103135848999)"
111 MAGAZINE ST,101-124,101,124,3000,105,Residential,THREE-FM-RES,3, , , ,YES, ,"(42.3600324013999, -71.1104033336)"
PLEASANT ST,101-125,101,125,217,972,Transportation,Road Right of Way,0, , , , ,City NonTax,"(42.3615177714999, -71.1109699759)"
34 FAIRMONT ST,101-126,101,126,2517,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3615820214999, -71.1108972225)"
304 ALLSTON ST,101-127,101,127,3120,111,Residential,4-8-UNIT-APT,6, , , ,YES, ,"(42.3604738590999, -71.1117841737)"
1 STINSON CT,101-128,101,128,2040,105,Residential,THREE-FM-RES,3, , , ,YES, ,"(42.360335448, -71.1119331552999)"
3 STINSON CT,101-129,101,129,2055,105,Residential,THREE-FM-RES,3, , , , , ,"(42.3602252888, -71.1120557228999)"
249 CHESTNUT ST,101-130,101,130,3806,105,Residential,THREE-FM-RES,3, , , , , ,"(42.3594706815, -71.1133040842999)"
164 PLEASANT ST,101-131,101,131,1588,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.35955631, -71.1131535791)"
397 PUTNAM AVE,101-136,101,136,3229,111,Residential,4-8-UNIT-APT,4, , , , , ,"(42.3598696159999, -71.1126412890999)"
401 PUTNAM AVE,101-137,101,137,3452,105,Residential,THREE-FM-RES,3, , , , , ,"(42.3597858683, -71.1125010266)"
27 WHITNEY AVE,101-141,101,141,3823,111,Residential,4-8-UNIT-APT,4, , , ,YES, ,"(42.3593028172999, -71.1130249203)"
28 WHITNEY AVE,101-143,101,143,6135,111,Residential,4-8-UNIT-APT,4, , , ,YES, ,"(42.3591865105999, -71.1127590961)"
20 WHITNEY AVE,101-145,101,145,2322,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3593416515999, -71.1125886909999)"
411 PUTNAM AVE,101-147,101,147,3990,104,Residential,TWO-FAM-RES,2, , , ,YES, ,"(42.3596397095, -71.1122636369999)"
415 PUTNAM AVE,101-148,101,148,4945,111,Residential,4-8-UNIT-APT,4, , , ,YES, ,"(42.3595229152, -71.1121353852999)"
421 PUTNAM AVE,101-149,101,149,5140,111,Residential,4-8-UNIT-APT,4, , , , , ,"(42.3594235269, -71.1119864132)"
424 PUTNAM AVE,101-151,101,151,5150,111,Residential,4-8-UNIT-APT,4, , , , , ,"(42.359720731, -71.1116668391999)"
426 PUTNAM AVE,101-152,101,152,4850,105,Residential,THREE-FM-RES,3, , , , , ,"(42.3596342187999, -71.1115250131)"
18 WHITNEY AVE,101-153,101,153,10665,111,Residential,4-8-UNIT-APT,7, , , ,YES, ,"(42.3593871046999, -71.1123290352999)"
148 PLEASANT ST,101-155,101,155,2198,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3601774169, -71.1125466401999)"
431 PUTNAM AVE,101-158,101,158,7794,105,Residential,THREE-FM-RES,3, , , ,YES, ,"(42.3591952773999, -71.1117545678)"
131 MAGAZINE ST,101-159,101,159,7878,111,Residential,4-8-UNIT-APT,7, , , ,YES, ,"(42.3589751371999, -71.1116206267)"
129 MAGAZINE ST,101-160,101,160,8328,111,Residential,4-8-UNIT-APT,7, , , , , ,"(42.3591320728, -71.1114422179)"
62 PRINCE ST,101-161,101,161,4908,104,Residential,TWO-FAM-RES,2, , , ,YES, ,"(42.3609008878, -71.111239638)"
19 WHITNEY AVE,101-164,101,164,2765,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3594486021999, -71.1129274425999)"
15 WHITNEY AVE,101-165,101,165,2765,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3595289979, -71.1128393853999)"
11 WHITNEY AVE,101-166,101,166,2765,104,Residential,TWO-FAM-RES,2, , , ,YES, ,"(42.3596104737999, -71.1127494664)"
7 WHITNEY AVE,101-167,101,167,2765,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3596917206999, -71.1126596136)"
135 MAGAZINE ST,101-168,101,168,4500,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3588268604, -71.1117369138)"
137 MAGAZINE ST,101-169,101,169,4500,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3587195583999, -71.1118556217)"
225 CHESTNUT ST,101-171,101,171,10725,111,Residential,4-8-UNIT-APT,6, , , , , ,"(42.3591230193, -71.1125198028999)"
215 CHESTNUT ST,101-172,101,172,5569,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3589596538, -71.1122495686)"
211 CHESTNUT ST,101-173,101,173,5569,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3588924972999, -71.1121407904)"
207 CHESTNUT ST,101-174,101,174,5568,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3588284001999, -71.1120316347)"
139 MAGAZINE ST,101-175,101,175,4500,105,Residential,THREE-FM-RES,3, , , ,YES, ,"(42.3586139407999, -71.1119733556)"
219 CHESTNUT ST,101-176,101,176,5568,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3590262777999, -71.112360108)"
162 PLEASANT ST,101-177,101,177,1645,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3596033621, -71.1131028108)"
160 PLEASANT ST,101-178,101,178,1545,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3596498580999, -71.1130509225999)"
158 PLEASANT ST,101-179,101,179,1544,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3596957227, -71.1130001128999)"
156 PLEASANT ST,101-180,101,180,1544,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3597418282, -71.1129492178999)"
6-8 MAGAZINE CT,101-181,101,181,4680,104,Residential,TWO-FAM-RES,2, , , ,YES, ,"(42.3598837102999, -71.1111672254999)"
154 PLEASANT ST,101-185,101,185,1588,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3597876346999, -71.1128989199)"
395 PUTNAM AVE,101-186,101,186,3041,960,Charitable/Religious,Religious,0, , , , ,Religious NonTax,"(42.3599577212999, -71.112770241)"
152 PLEASANT ST,101-187,101,187,1826,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.359840617, -71.1128486045)"
396 PUTNAM AVE,101-190,101,190,3830,111,Residential,4-8-UNIT-APT,8, , , , , ,"(42.3601142620999, -71.1123931404)"
21 PRINCE ST,101-191,101,191,3215,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3607342159999, -71.1101913161)"
19 PRINCE ST,101-192,101,192,4685,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3606661458999, -71.110076151)"
115-117 MAGAZINE ST,101-193,101,193,6238,105,Residential,THREE-FM-RES,3, , , ,YES, ,"(42.3598318646999, -71.1106215521)"
272 ALLSTON ST,101-194,101,194,4162,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.359972079, -71.1108510868999)"
298 ALLSTON ST,101-195,101,195,2445,105,Residential,THREE-FM-RES,3, , , , , ,"(42.3603870195, -71.1116252988)"
6 STINSON CT,101-196,101,196,2656,105,Residential,THREE-FM-RES,3, , , ,YES, ,"(42.3602489696, -71.1117786494999)"
8 STINSON CT,101-197,101,197,1761,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3601289819999, -71.1119117080999)"
99 MAGAZINE ST,101-198,101,198,6000,104,Residential,TWO-FAM-RES,2, , , ,YES, ,"(42.3604993383, -71.1099164652)"
95 MAGAZINE ST,101-200,101,200,7450,105,Residential,THREE-FM-RES,3, , , , , ,"(42.3606451094999, -71.109775733)"
247 CHESTNUT ST,101-201,101,201,1959,104,Residential,TWO-FAM-RES,2, , , ,YES, ,"(42.3594062394999, -71.113196203)"
245 CHESTNUT ST,101-202,101,202,1959,105,Residential,THREE-FM-RES,3, , , , , ,"(42.3593625346999, -71.1131258119)"
295 ALLSTON ST,101-203,101,203,3720,111,Residential,4-8-UNIT-APT,4, , , , , ,"(42.3604826318999, -71.1112388455999)"
25-27 KENWOOD ST,101-204,101,204,2280,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3605892563, -71.1111233854)"
106 PLEASANT ST,101-205,101,205,2281,105,Residential,THREE-FM-RES,3, , , ,YES, ,"(42.3613587197, -71.1110294047)"
108 PLEASANT ST,101-206,101,206,2258,105,Residential,THREE-FM-RES,3, , , ,YES, ,"(42.3613123141999, -71.1110945341)"
138-142 PLEASANT ST,101-207,101,207,7435,105,Residential,THREE-FM-RES,3, , , , , ,"(42.360331078, -71.1122498966)"
427-429 PUTNAM AVE,101-208,101,208,3404,104,Residential,TWO-FAM-RES,2, , , ,YES, ,"(42.3592601264, -71.1118670136)"
423-425 PUTNAM AVE,101-209,101,209,3514,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3593009578, -71.1119346865999)"
144 PLEASANT ST,101-23,101,23,1536,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3602438311, -71.1124151369999)"
134 PLEASANT ST,101-27,101,27,4248,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3604675376, -71.1120967200999)"
130 PLEASANT ST,101-28,101,28,2747,105,Residential,THREE-FM-RES,3, , , ,YES, ,"(42.3605764352, -71.1120199499)"
306 ALLSTON ST,101-31,101,31,3021,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3606791998999, -71.1119917034999)"
17 KENWOOD ST,101-38,101,38,4335,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3602952, -71.1114661144)"
13-15 KENWOOD ST,101-39,101,39,3656,104,Residential,TWO-FAM-RES,2, , , ,YES, ,"(42.3601748155999, -71.1115991791999)"
11 KENWOOD ST,101-40,101,40,2221,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3600850767, -71.1116981696)"
9 KENWOOD ST,101-41,101,41,2220,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3600184052, -71.111772462)"
412 PUTNAM AVE,101-42,101,42,5000,111,Residential,4-8-UNIT-APT,4, , , , , ,"(42.3598622446, -71.111895832)"
408-410 PUTNAM AVE,101-43,101,43,5783,105,Residential,THREE-FM-RES,3, , , ,YES, ,"(42.3599551750999, -71.1120501271)"
404 PUTNAM AVE,101-44,101,44,5425,111,Residential,4-8-UNIT-APT,4, , , , , ,"(42.3600533510999, -71.1122134467999)"
8 KENWOOD ST,101-48,101,48,5000,111,Residential,4-8-UNIT-APT,5, , , , , ,"(42.3598359659999, -71.1114234275)"
10 KENWOOD ST,101-49,101,49,3965,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3599920144, -71.1113469840999)"
119 MAGAZINE ST,101-52,101,52,9585,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3597131296, -71.1108671994)"
125 MAGAZINE ST,101-53,101,53,12020,105,Residential,THREE-FM-RES,3, , , ,YES, ,"(42.3595822002999, -71.1110812989)"
127 MAGAZINE ST,101-54,101,54,12010,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.359423874, -71.1112561613)"
124 PLEASANT ST,101-55,101,55,3400,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3607857698, -71.1117791201999)"
120 PLEASANT ST,101-56,101,56,5290,111,Residential,4-8-UNIT-APT,6, , , ,YES, ,"(42.3608546321, -71.1116032207)"
118 PLEASANT ST,101-57,101,57,3060,105,Residential,THREE-FM-RES,3, , , ,YES, ,"(42.3609556843999, -71.1115246779999)"
116 PLEASANT ST,101-58,101,58,3650,111,Residential,4-8-UNIT-APT,4, , , , , ,"(42.3610885367999, -71.1114509803)"
70 PRINCE ST,101-59,101,59,2500,104,Residential,TWO-FAM-RES,2, , , ,YES, ,"(42.3610055101, -71.1113251321999)"
150 SECOND ST,10-16,10,16,60000,404,Office/R&D,RES-&-DEV-FC,0, , , , , ,"(42.3670336917, -71.078821859)"
56 PRINCE ST,101-62,101,62,3750,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3608278629999, -71.1111151471999)"
50 PRINCE ST,101-63,101,63,3956,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3607609350999, -71.1110024295)"
46 PRINCE ST,101-64,101,64,5000,111,Residential,4-8-UNIT-APT,4, , , ,YES, ,"(42.3606823782, -71.1108707428)"
38 PRINCE ST,101-65,101,65,5000,111,Residential,4-8-UNIT-APT,6, , , ,YES, ,"(42.3605944687, -71.1107237045)"
18-30 PRINCE ST,101-68,101,68,10162,111,Residential,4-8-UNIT-APT,7, , , ,YES, ,"(42.3604621612999, -71.1105025799)"
297 ALLSTON ST,101-80,101,80,7390,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3606432686, -71.1113926682999)"
307 ALLSTON ST,101-82,101,82,2000,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3606919056, -71.1116237131)"
110 PLEASANT ST,101-83,101,83,4950,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3612351665999, -71.1111755814)"
104 PLEASANT ST,101-85,101,85,1811,105,Residential,THREE-FM-RES,3, , , ,YES, ,"(42.3614695253999, -71.1110259353)"
30 FAIRMONT ST,101-87,101,87,5237,105,Residential,THREE-FM-RES,3, , , , , ,"(42.3614517430999, -71.1108132411)"
26 FAIRMONT ST,101-89,101,89,5000,105,Residential,THREE-FM-RES,3, , , , , ,"(42.3613623146, -71.1106616728999)"
24 FAIRMONT ST,101-91,101,91,5000,104,Residential,TWO-FAM-RES,2, , , ,YES, ,"(42.3612749624999, -71.1105140484)"
18-20 FAIRMONT ST,101-94,101,94,5011,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.361190147, -71.1103715631)"
16 FAIRMONT ST,101-95,101,95,2987,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3611258473, -71.1102610298)"
14 FAIRMONT ST,101-96,101,96,2759,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3610765220999, -71.1101807975)"
10-12 FAIRMONT ST,101-97,101,97,5779,104,Residential,TWO-FAM-RES,2, , , ,YES, ,"(42.3610033187, -71.1100572136)"
91 MAGAZINE ST,101-99,101,99,13114,112,Residential,>8-UNIT-APT,10, , , , ,Authority NonTax,"(42.3608439062999, -71.1097341469999)"
10 NEWTON ST,102-100,102,100,3072,105,Residential,THREE-FM-RES,3, , , , , ,"(42.3581528400999, -71.1104908588)"
8 NEWTON ST,102-101,102,101,3061,105,Residential,THREE-FM-RES,3, , , ,YES, ,"(42.3582308945999, -71.1104082559999)"
6 NEWTON ST,102-102,102,102,3050,105,Residential,THREE-FM-RES,3, , , , , ,"(42.3583091536999, -71.1103247560999)"
4 NEWTON ST,102-103,102,103,3040,105,Residential,THREE-FM-RES,3, , , , , ,"(42.3583875949, -71.1102403947)"
2 NEWTON ST,102-104,102,104,3062,105,Residential,THREE-FM-RES,3, , , ,YES, ,"(42.3584646624999, -71.1101593000999)"
463-465 PUTNAM AVE,102-105,102,105,6654,111,Residential,4-8-UNIT-APT,6, , , , , ,"(42.3586307198999, -71.1105747786999)"
5 NEWTON ST,102-108,102,108,3862,105,Residential,THREE-FM-RES,3, , , ,YES, ,"(42.3585015944, -71.1107145637)"
7 NEWTON ST,102-109,102,109,3864,105,Residential,THREE-FM-RES,3, , , , , ,"(42.358411832, -71.1108205509)"
9 NEWTON ST,102-110,102,110,4091,105,Residential,THREE-FM-RES,3, , , ,YES, ,"(42.358330611, -71.1109275032)"
183 CHESTNUT ST,102-113,102,113,4129,111,Residential,4-8-UNIT-APT,8, , , , , ,"(42.3582878715999, -71.1113341868999)"
140 MAGAZINE ST,102-114,102,114,7064,112,Residential,>8-UNIT-APT,15, , , , , ,"(42.3584030371999, -71.1115410037999)"
128 MAGAZINE ST,102-115,102,115,9700,112,Residential,>8-UNIT-APT,16, , , ,YES, ,"(42.3591569948, -71.110711402)"
456 PUTNAM AVE,102-116,102,116,4390,105,Residential,THREE-FM-RES,3, , , , , ,"(42.3590446672999, -71.1105157516)"
205 ALLSTON ST,102-117,102,117,3850,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3593711289, -71.1089967582999)"
225 PEARL ST,102-118,102,118,3173,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3593488292999, -71.1087427446999)"
231 PEARL ST,102-119,102,119,3118,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.359267344, -71.1088277072999)"
261 PEARL ST,102-121,102,121,4999,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3584863613, -71.1096994993)"
209 ALLSTON ST,102-124,102,124,4950,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3594382564999, -71.1091157221)"
132 MAGAZINE ST,102-125,102,125,6780,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3587707919, -71.1112215906999)"
196 ERIE ST,102-127,102,127,4487,105,Residential,THREE-FM-RES,3, , , ,YES, ,"(42.3600986423999, -71.1081113113999)"
201 PEARL ST,102-128,102,128,2636,105,Residential,THREE-FM-RES,3, , , ,YES, ,"(42.3599435618, -71.1080596042999)"
194 ERIE ST,102-129,102,129,2929,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3600442353999, -71.1079186169999)"
234 ALLSTON ST,102-130,102,130,3155,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3594838954999, -71.1100234827)"
240 ALLSTON ST,102-131,102,131,3312,105,Residential,THREE-FM-RES,3, , , , , ,"(42.3595624001999, -71.1101501711)"
482 PUTNAM AVE,102-132,102,132,2980,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3586172198, -71.1099214727999)"
470 PUTNAM AVE,102-133,102,133,8090,111,Residential,4-8-UNIT-APT,7, , , ,YES, ,"(42.3588204236, -71.1098772808999)"
218 HAMILTON ST,102-134,102,134,5169,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3598571277, -71.1094259709)"
198 HAMILTON ST,102-135,102,135,2057,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3598255255, -71.1089973848999)"
194 HAMILTON ST,102-136,102,136,2999,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3597125137, -71.1090386622999)"
120 MAGAZINE ST,102-137,102,137,3863,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3594496273, -71.110403176)"
120 1/2 MAGAZINE ST,102-138,102,138,2330,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3593354817, -71.1102029723)"
110-112 MAGAZINE ST,102-139,102,139,3980,104,Residential,TWO-FAM-RES,2, , , ,YES, ,"(42.3599872934999, -71.109818462)"
112R MAGAZINE ST,102-140,102,140,3720,101,Residential,SNGL-FAM-RES,1, , , , , ,"(42.3598684999999, -71.1096282990999)"
220 HAMILTON ST,102-141,102,141,4169,111,Residential,4-8-UNIT-APT,4, , , , , ,"(42.360084845, -71.1095330235999)"
185-187 HAMILTON ST,102-142,102,142,2405,105,Residential,THREE-FM-RES,3, , , ,YES, ,"(42.3599017626, -71.1085113702)"
193 HAMILTON ST,102-143,102,143,5245,104,Residential,TWO-FAM-RES,2, , , , , ,"(42.3600052799, -71.1086463368)"
